timestamp,bead_x,bead_y,bead_z
0,0.000995,0.041505,0.120436
0.00415,0.001004,0.041484,0.12044
0.008301,0.001002,0.041488,0.120435
0.012573,0.001003,0.041472,0.120439
0.016724,0.001012,0.04146,0.120441
0.020874,0.001027,0.041464,0.120441
0.025024,0.001039,0.041457,0.120439
0.029175,0.001049,0.04146,0.120459
0.033325,0.001037,0.041442,0.120764
0.037476,0.001021,0.041279,0.121447
0.041748,0.001123,0.041011,0.122454
0.045898,0.001263,0.040914,0.123738
0.050049,0.0012,0.040982,0.125178
0.054199,0.000903,0.04009,0.126974
0.05835,0.001089,0.038422,0.128954
0.0625,0.001255,0.037893,0.131067
0.06665,0.000728,0.036064,0.133305
0.070801,0.001008,0.032723,0.135292
0.075073,0.00111,0.02999,0.137378
0.079224,0.000515,0.026447,0.138988
0.083374,0.000862,0.021233,0.140222
0.087524,0.000712,0.016372,0.140803
0.091675,0.0002,0.010514,0.140576
0.095825,0.000375,0.003008,0.139496
0.099976,0.000162,-0.002878,0.137273
0.104248,-0.000537,-0.009502,0.134054
0.108398,-0.000368,-0.017026,0.130068
0.112549,-0.000645,-0.023441,0.125271
0.116699,-0.001176,-0.028551,0.119983
0.12085,-0.00108,-0.033779,0.114488
0.125,-0.001183,-0.037886,0.109502
0.12915,-0.001407,-0.040249,0.105388
0.133301,-0.001164,-0.041728,0.102639
0.137573,-0.000981,-0.04222,0.101549
0.141724,-0.001316,-0.042097,0.102437
0.145874,-0.001337,-0.041356,0.105306
0.150024,-0.00098,-0.040538,0.109958
0.154175,-0.001248,-0.039875,0.11607
0.158325,-0.001475,-0.039685,0.122971
0.162476,-0.000961,-0.03999,0.129714
0.166748,-0.001007,-0.040627,0.135708
0.170898,-0.001563,-0.041323,0.140034
0.175049,-0.001154,-0.041859,0.141945
0.179199,-0.001067,-0.041372,0.141237
0.18335,-0.001333,-0.039883,0.138016
0.1875,-0.000996,-0.036945,0.132492
0.19165,-0.00076,-0.031244,0.125264
0.195801,-0.000966,-0.023143,0.117256
0.200073,-0.000488,-0.013955,0.109829
0.204224,-0.000002,-0.003442,0.103994
0.208374,0.000065,0.00811,0.100965
0.212524,0.000542,0.019471,0.101381
0.216675,0.000864,0.028908,0.104479
0.220825,0.00077,0.035993,0.109848
0.224976,0.001068,0.040161,0.117022
0.229248,0.001416,0.040442,0.124568
0.233398,0.001165,0.0367,0.13198
0.237549,0.000805,0.02957,0.137543
0.241699,0.000726,0.018367,0.140434
0.24585,0.000349,0.003319,0.139419
0.25,-0.000214,-0.010503,0.133066
0.25415,-0.000745,-0.022533,0.123851
0.258301,-0.001087,-0.034758,0.114202
0.262573,-0.001366,-0.04122,0.105777
0.266724,-0.001282,-0.04122,0.101939
0.270874,-0.00079,-0.03928,0.104144
0.275024,-0.00115,-0.041243,0.113791
0.279175,-0.00166,-0.04156,0.127119
0.283325,-0.000876,-0.039028,0.137448
0.287476,-0.000791,-0.040264,0.14068
0.291748,-0.001625,-0.040575,0.137436
0.295898,-0.001183,-0.035231,0.129636
0.300049,-0.000284,-0.025703,0.119833
0.304199,-0.00063,-0.013491,0.110411
0.30835,-0.000128,0.001331,0.103636
0.3125,0.00087,0.014573,0.101758
0.31665,0.000714,0.026406,0.104098
0.320801,0.000774,0.037021,0.109303
0.325073,0.001371,0.040743,0.116415
0.329224,0.001185,0.038798,0.125144
0.333374,0.001019,0.036721,0.131439
0.337524,0.001039,0.030794,0.13713
0.341675,0.000687,0.018061,0.140214
0.345825,0.000149,0.002939,0.139444
0.349976,-0.000035,-0.009333,0.133283
0.354248,-0.000699,-0.022879,0.124181
0.358398,-0.001206,-0.035052,0.114371
0.362549,-0.001277,-0.040522,0.106088
0.366699,-0.00114,-0.040265,0.102151
0.37085,-0.000857,-0.039858,0.104438
0.375,-0.00126,-0.041938,0.114005
0.37915,-0.001454,-0.040514,0.127018
0.383301,-0.000829,-0.038709,0.137456
0.387573,-0.000991,-0.041446,0.141023
0.391724,-0.001542,-0.040703,0.137879
0.395874,-0.000889,-0.034195,0.130121
0.400024,-0.000408,-0.026028,0.120265
0.404175,-0.000682,-0.014584,0.110601
0.408325,0.000022,0.001462,0.103667
0.412476,0.000787,0.01499,0.101564
0.416748,0.000603,0.025501,0.103914
0.420898,0.001034,0.036416,0.109041
0.425049,0.001436,0.041204,0.116216
0.429199,0.001132,0.039416,0.123876
0.43335,0.001163,0.035849,0.13134
0.4375,0.001142,0.030739,0.137039
0.44165,0.000481,0.01872,0.140183
0.445801,0.000185,0.002773,0.139577
0.450073,0.000214,-0.009643,0.133424
0.454224,-0.000835,-0.022402,0.124259
0.458374,-0.001128,-0.03506,0.114453
0.462524,-0.000929,-0.041042,0.106145
0.466675,-0.001209,-0.040491,0.102214
0.470825,-0.000994,-0.039382,0.104382
0.474976,-0.000971,-0.041928,0.113949
0.479248,-0.001397,-0.040936,0.126956
0.483398,-0.001008,-0.038516,0.137358
0.487549,-0.000813,-0.041106,0.140953
0.491699,-0.001352,-0.041051,0.137828
0.49585,-0.001077,-0.034639,0.130134
0.5,-0.000397,-0.025707,0.120246
0.50415,-0.000489,-0.014382,0.110628
0.508301,-0.000071,0.001126,0.103697
0.512573,0.000841,0.014929,0.101529
0.516724,0.000833,0.025601,0.103878
0.520874,0.000942,0.036092,0.109011
0.525024,0.001378,0.040983,0.116185
0.529175,0.001302,0.039318,0.123826
0.533325,0.001244,0.035899,0.131328
0.537476,0.001114,0.030633,0.13704
0.541748,0.000609,0.01859,0.140191
0.545898,0.000336,0.002867,0.139607
0.550049,0.000123,-0.00947,0.133476
0.554199,-0.000805,-0.022461,0.124325
0.55835,-0.000966,-0.035047,0.11448
0.5625,-0.001029,-0.0408,0.106201
0.56665,-0.001382,-0.040228,0.102207
0.570801,-0.000809,-0.039617,0.104371
0.575073,-0.000941,-0.042037,0.113901
0.579224,-0.001568,-0.040699,0.1269
0.583374,-0.000885,-0.038517,0.137331
0.587524,-0.000706,-0.041263,0.140958
0.591675,-0.001538,-0.040931,0.137911
0.595825,-0.001086,-0.034393,0.130184
0.599976,-0.000176,-0.025939,0.120264
0.604248,-0.000495,-0.014738,0.110616
0.608398,0.000015,0.001225,0.103701
0.612549,0.001145,0.014937,0.101605
0.616699,0.000685,0.025489,0.103909
0.62085,0.000846,0.036159,0.109058
0.625,0.001618,0.04106,0.116182
0.62915,0.001245,0.03918,0.123897
0.633301,0.001052,0.035892,0.131409
0.637573,0.001385,0.0308,0.137096
0.641724,0.000745,0.01859,0.14028
0.645874,0.000134,0.002873,0.139662
0.650024,0.00028,-0.009426,0.133532
0.654175,-0.000681,-0.022512,0.124377
0.658325,-0.001159,-0.035087,0.11453
0.662476,-0.000991,-0.040896,0.106168
0.666748,-0.001118,-0.040441,0.102185
0.670898,-0.000954,-0.039538,0.10429
0.675049,-0.001055,-0.04198,0.113815
